t_rel_s,volt_v,curr_a
0.412,3.612876,-1.070979
0.907,3.611894,-1.070950
1.402,3.611101,-1.070884
1.938,3.610486,-1.070755
3.051,3.609024,-1.070419
3.546,3.608608,-1.070288
4.041,3.608256,-1.070091
4.536,3.607791,-1.069923
5.072,3.607357,-1.069700
5.567,3.607054,-1.069464
6.062,3.606676,-1.069153
6.557,3.606308,-1.068887
7.052,3.605967,-1.068563
7.588,3.605635,-1.068356
8.083,3.605361,-1.068041
8.578,3.605046,-1.067728
9.073,3.604748,-1.067380
9.568,3.604517,-1.067066
10.104,3.604248,-1.066692
10.599,3.603982,-1.066275
11.094,3.603734,-1.065866
11.588,3.603523,-1.065604
12.083,3.603262,-1.065288
12.619,3.603040,-1.064804
13.114,3.602829,-1.064512
13.609,3.602657,-1.064002
14.104,3.602482,-1.063673
14.641,3.602198,-1.063297
15.135,3.602008,-1.062867
15.630,3.601844,-1.062454
16.125,3.601699,-1.062127
16.661,3.601491,-1.061556
17.156,3.601066,-1.061112
17.651,3.600416,-1.060745
18.146,3.599930,-1.060403
18.682,3.601136,-1.060061
19.177,3.599925,-1.059797
19.672,3.600147,-1.059417
20.167,3.600004,-1.058964
20.662,3.600006,-1.058609
21.198,3.599839,-1.058285
21.693,3.599678,-1.057874
22.188,3.599570,-1.057614
22.682,3.599445,-1.057269
23.219,3.599147,-1.056830
23.714,3.598980,-1.056443
24.209,3.598914,-1.056105
24.703,3.598806,-1.055747
25.240,3.598630,-1.055541
25.735,3.598461,-1.055289
26.229,3.598376,-1.054909
26.724,3.598266,-1.054612
27.219,3.598084,-1.054289
27.756,3.597839,-1.053948
28.250,3.597511,-1.053717
28.745,3.597428,-1.053340
29.241,3.597293,-1.052986
29.735,3.597122,-1.052774
30.271,3.597031,-1.052375
30.766,3.596935,-1.052275
31.261,3.596798,-1.051907
31.756,3.596652,-1.051527
32.251,3.596578,-1.051287
32.787,3.596457,-1.051029
33.282,3.596341,-1.050819
33.777,3.596176,-1.050586
34.272,3.596087,-1.050293
34.808,3.596009,-1.050177
35.303,3.595839,-1.049986
35.797,3.595691,-1.049712
36.292,3.595630,-1.049421
36.829,3.595537,-1.049299
37.324,3.595412,-1.049000
37.819,3.595291,-1.048596
38.313,3.595099,-1.048288
38.850,3.595016,-1.048157
70.332,3.604736,-1.056752
70.826,3.603846,-1.056781
71.322,3.603112,-1.057047
71.858,3.602379,-1.057166
72.930,3.601228,-1.057273
73.466,3.600771,-1.057258
73.961,3.600327,-1.057334
74.456,3.599962,-1.057169
74.951,3.599601,-1.057035
75.487,3.599252,-1.056972
75.982,3.598962,-1.056962
76.519,3.598613,-1.056731
77.014,3.598316,-1.056528
77.508,3.598056,-1.056323
78.004,3.597800,-1.056203
78.540,3.597548,-1.056045
79.035,3.597294,-1.055847
79.530,3.597081,-1.055566
80.025,3.596862,-1.055371
80.561,3.596655,-1.055202
81.055,3.596477,-1.054857
81.550,3.596272,-1.054601
82.045,3.596046,-1.054380
82.540,3.595908,-1.054140
83.076,3.595733,-1.053867
83.571,3.595550,-1.053666
84.066,3.595386,-1.053341
84.561,3.595235,-1.053134
85.097,3.595108,-1.052862
85.592,3.594920,-1.052594
86.087,3.594748,-1.052313
86.582,3.594624,-1.052022
87.118,3.594512,-1.051676
87.613,3.594376,-1.051373
88.108,3.594247,-1.051229
88.603,3.594171,-1.051021
89.139,3.593885,-1.050698
89.634,3.593957,-1.050409
90.129,3.593815,-1.050215
90.624,3.593697,-1.049905
91.119,3.593613,-1.049602
91.655,3.593524,-1.049429
92.150,3.593447,-1.048976
92.645,3.593287,-1.048895
93.140,3.593198,-1.048700
93.676,3.593124,-1.048401
94.171,3.592992,-1.048217
94.666,3.592918,-1.047915
95.161,3.592785,-1.047647
95.697,3.592705,-1.047378
96.192,3.592665,-1.047155
96.687,3.592557,-1.046901
97.182,3.593138,-1.046785
97.677,3.592848,-1.046552
98.213,3.592791,-1.046250
98.708,3.592696,-1.046004
99.203,3.592626,-1.045701
99.698,3.592514,-1.045576
100.234,3.592428,-1.045385
100.729,3.592374,-1.045189
101.224,3.592275,-1.044974
101.719,3.592167,-1.044819
102.255,3.592000,-1.044714
102.749,3.591934,-1.044553
103.244,3.591858,-1.044273
103.739,3.591773,-1.044116
104.234,3.591681,-1.043923
104.771,3.591613,-1.043747
105.265,3.591577,-1.043445
105.760,3.591485,-1.043201
106.255,3.591439,-1.042938
106.750,3.591361,-1.042744
107.287,3.591314,-1.042524
107.782,3.591263,-1.042377
108.276,3.591173,-1.042126
108.771,3.591067,-1.042041
